date,touch_time,entry_time,type,level,entry_price,pullback_usd,session
2026-01-21,2026-01-21 00:30:00+08:00,2026-01-21 00:30:00+08:00,PDH,4756.60009765625,4752.625,11.5,Asian
2026-01-21,2026-01-21 01:00:00+08:00,2026-01-21 05:00:00+08:00,PDH,4756.60009765625,4763.5499267578125,6.30029296875,Asian
2026-01-21,2026-01-21 05:30:00+08:00,2026-01-21 16:00:00+08:00,PDH,4756.60009765625,4863.300048828125,0.0,London
2026-01-21,2026-01-21 16:30:00+08:00,2026-01-21 19:00:00+08:00,PDH,4756.60009765625,4867.5999755859375,0.0,London
2026-01-21,2026-01-21 19:30:00+08:00,2026-01-21 20:30:00+08:00,PDH,4756.60009765625,4867.2249755859375,0.0,New York
2026-01-22,2026-01-21 21:00:00+08:00,2026-01-22 02:00:00+08:00,PDH,4756.60009765625,4831.925048828125,86.5,Asian
2026-01-23,2026-01-23 00:00:00+08:00,2026-01-23 10:30:00+08:00,PDH,4876.7998046875,4957.7750244140625,6.69970703125,Pre-London
2026-01-23,2026-01-23 11:00:00+08:00,2026-01-23 12:00:00+08:00,PDH,4876.7998046875,4952.925048828125,0.0,Pre-London
2026-01-23,2026-01-23 12:30:00+08:00,2026-01-23 15:00:00+08:00,PDH,4876.7998046875,4956.375,0.0,London
2026-01-23,2026-01-23 15:30:00+08:00,2026-01-23 18:00:00+08:00,PDH,4876.7998046875,4925.0,0.0,London
2026-01-23,2026-01-23 18:30:00+08:00,2026-01-23 20:00:00+08:00,PDH,4876.7998046875,4928.800048828125,0.0,New York
2026-01-24,2026-01-23 20:30:00+08:00,2026-01-24 03:30:00+08:00,PDH,4876.7998046875,4982.6500244140625,10.5,Asian
2026-01-27,2026-01-24 04:00:00+08:00,2026-01-27 04:30:00+08:00,PDH,4970.0,5047.5999755859375,105.19970703125,Asian
2026-01-27,2026-01-27 05:00:00+08:00,2026-01-27 05:00:00+08:00,PDL,5010.89990234375,5030.550048828125,43.0,Asian
2026-01-27,2026-01-27 05:30:00+08:00,2026-01-27 08:30:00+08:00,PDL,5010.89990234375,5030.050048828125,45.10009765625,Pre-London
2026-01-28,2026-01-28 04:00:00+08:00,2026-01-28 08:30:00+08:00,PDH,5103.0,5166.72509765625,6.7998046875,Pre-London
2026-01-28,2026-01-28 09:00:00+08:00,2026-01-28 20:30:00+08:00,PDH,5103.0,5302.699951171875,0.0,New York
2026-01-28,2026-01-28 21:00:00+08:00,2026-01-28 22:30:00+08:00,PDH,5103.0,5303.599853515625,0.0,New York
2026-01-29,2026-01-28 23:00:00+08:00,2026-01-29 03:30:00+08:00,PDH,5103.0,5338.824951171875,44.0,Asian
2026-01-29,2026-01-29 04:00:00+08:00,2026-01-29 13:30:00+08:00,PDH,5345.0,5580.949951171875,0.0,Pre-London
2026-01-29,2026-01-29 14:00:00+08:00,2026-01-29 19:30:00+08:00,PDH,5345.0,5549.550048828125,0.0,London
