bar_index,datetime_sgt,session,tap1_low,tap2_low,tap3_low,entry_price,sl_price,risk_usd,atr,rsi_at_entry,vol_ratio,rr_target,tp_price,outcome,exit_time,exit_price,bars_held,pnl_pips,pnl_usd
164,2024-04-10 09:00:00+08:00,Pre-London,2357.0,2363.8,2368.8,2367.4,2374.78,7.38,8.36,42.4,0.7,1.0,2360.02,LOSS,2024-04-10 12:00:00+08:00,2374.78,3,-73.8,-7.38
164,2024-04-10 09:00:00+08:00,Pre-London,2357.0,2363.8,2368.8,2367.4,2374.78,7.38,8.36,42.4,0.7,2.0,2352.64,LOSS,2024-04-10 12:00:00+08:00,2374.78,3,-73.8,-7.38
164,2024-04-10 09:00:00+08:00,Pre-London,2357.0,2363.8,2368.8,2367.4,2374.78,7.38,8.36,42.4,0.7,3.0,2345.26,LOSS,2024-04-10 12:00:00+08:00,2374.78,3,-73.8,-7.38
1817,2024-07-25 01:00:00+08:00,Asian,2410.6,2411.5,2414.4,2409.6,2423.72,14.12,7.24,42.1,2.33,1.0,2395.48,WIN,2024-07-25 06:00:00+08:00,2395.48,4,141.2,14.12
1817,2024-07-25 01:00:00+08:00,Asian,2410.6,2411.5,2414.4,2409.6,2423.72,14.12,7.24,42.1,2.33,2.0,2381.36,WIN,2024-07-25 09:00:00+08:00,2381.36,7,282.4,28.24
1817,2024-07-25 01:00:00+08:00,Asian,2410.6,2411.5,2414.4,2409.6,2423.72,14.12,7.24,42.1,2.33,3.0,2367.24,WIN,2024-07-25 11:00:00+08:00,2367.24,9,423.6,42.36
1984,2024-08-05 08:00:00+08:00,Pre-London,2453.1,2465.5,2468.4,2464.3,2491.08,26.78,15.76,29.2,1.07,1.0,2437.52,LOSS,2024-08-05 11:00:00+08:00,2491.08,3,-267.8,-26.78
1984,2024-08-05 08:00:00+08:00,Pre-London,2453.1,2465.5,2468.4,2464.3,2491.08,26.78,15.76,29.2,1.07,2.0,2410.74,LOSS,2024-08-05 11:00:00+08:00,2491.08,3,-267.8,-26.78
1984,2024-08-05 08:00:00+08:00,Pre-London,2453.1,2465.5,2468.4,2464.3,2491.08,26.78,15.76,29.2,1.07,3.0,2383.96,LOSS,2024-08-05 11:00:00+08:00,2491.08,3,-267.8,-26.78
3563,2024-11-09 00:00:00+08:00,Asian,2687.3,2689.0,2693.3,2690.8,2700.81,10.01,8.03,33.7,1.16,1.0,2680.79,WIN,2024-11-11 09:00:00+08:00,2680.79,8,100.1,10.01
3563,2024-11-09 00:00:00+08:00,Asian,2687.3,2689.0,2693.3,2690.8,2700.81,10.01,8.03,33.7,1.16,2.0,2670.78,WIN,2024-11-11 17:00:00+08:00,2670.78,16,200.2,20.02
3563,2024-11-09 00:00:00+08:00,Asian,2687.3,2689.0,2693.3,2690.8,2700.81,10.01,8.03,33.7,1.16,3.0,2660.77,WIN,2024-11-11 21:00:00+08:00,2660.77,20,300.3,30.03
3790,2024-11-22 21:00:00+08:00,New York,2685.1,2695.8,2699.2,2695.1,2710.94,15.84,8.89,68.2,3.02,1.0,2679.26,LOSS,2024-11-23 02:00:00+08:00,2710.94,5,-158.4,-15.84
3790,2024-11-22 21:00:00+08:00,New York,2685.1,2695.8,2699.2,2695.1,2710.94,15.84,8.89,68.2,3.02,2.0,2663.42,LOSS,2024-11-23 02:00:00+08:00,2710.94,5,-158.4,-15.84
3790,2024-11-22 21:00:00+08:00,New York,2685.1,2695.8,2699.2,2695.1,2710.94,15.84,8.89,68.2,3.02,3.0,2647.58,LOSS,2024-11-23 02:00:00+08:00,2710.94,5,-158.4,-15.84
4140,2024-12-17 16:00:00+08:00,London,2651.8,2651.9,2663.7,2659.5,2674.59,15.09,8.78,38.5,2.6,1.0,2644.41,WIN,2024-12-17 17:00:00+08:00,2644.41,1,150.9,15.09
4140,2024-12-17 16:00:00+08:00,London,2651.8,2651.9,2663.7,2659.5,2674.59,15.09,8.78,38.5,2.6,2.0,2629.32,WIN,2024-12-19 03:00:00+08:00,2629.32,34,301.8,30.18
4140,2024-12-17 16:00:00+08:00,London,2651.8,2651.9,2663.7,2659.5,2674.59,15.09,8.78,38.5,2.6,3.0,2614.23,WIN,2024-12-19 04:00:00+08:00,2614.23,35,452.7,45.27
4252,2024-12-24 22:30:00+08:00,New York,2624.9,2627.4,2629.4,2625.0,2634.86,9.86,4.51,43.5,1.37,1.0,2615.14,LOSS,2024-12-25 01:30:00+08:00,2634.86,3,-98.6,-9.86
4252,2024-12-24 22:30:00+08:00,New York,2624.9,2627.4,2629.4,2625.0,2634.86,9.86,4.51,43.5,1.37,2.0,2605.28,LOSS,2024-12-25 01:30:00+08:00,2634.86,3,-98.6,-9.86
4252,2024-12-24 22:30:00+08:00,New York,2624.9,2627.4,2629.4,2625.0,2634.86,9.86,4.51,43.5,1.37,3.0,2595.42,LOSS,2024-12-25 01:30:00+08:00,2634.86,3,-98.6,-9.86
6156,2025-04-28 09:00:00+08:00,Pre-London,3279.8,3298.7,3309.5,3290.8,3334.96,44.16,18.31,43.4,1.45,1.0,3246.64,LOSS,2025-04-28 22:00:00+08:00,3334.96,13,-441.6,-44.16
6156,2025-04-28 09:00:00+08:00,Pre-London,3279.8,3298.7,3309.5,3290.8,3334.96,44.16,18.31,43.4,1.45,2.0,3202.48,LOSS,2025-04-28 22:00:00+08:00,3334.96,13,-441.6,-44.16
6156,2025-04-28 09:00:00+08:00,Pre-London,3279.8,3298.7,3309.5,3290.8,3334.96,44.16,18.31,43.4,1.45,3.0,3158.32,LOSS,2025-04-28 22:00:00+08:00,3334.96,13,-441.6,-44.16
6442,2025-05-14 19:00:00+08:00,London,3225.2,3227.7,3232.9,3223.7,3248.78,25.08,10.95,31.6,1.33,1.0,3198.62,WIN,2025-05-14 20:00:00+08:00,3198.62,1,250.8,25.08
