date,touch_time_sgt,touch_type,level,touch_price,session,sgt_hour,broke_out,pullback_before_bo_pips,max_pullback_pips,reward_pips,rr_ratio
2024-04-03,2024-04-03 03:00,PDH,2297.9,2300.2,Asian,3,True,60.0,122.0,113.0,1.88
2024-04-04,2024-04-04 00:00,PDH,2309.2,2316.0,Asian,0,True,80.0,80.0,156.0,1.95
2024-04-05,2024-04-05 02:00,PDH,2324.8,2325.3,Asian,2,True,386.0,386.0,232.0,0.6
2024-04-05,2024-04-05 03:00,PDL,2301.2,2298.7,Asian,3,True,230.0,468.0,150.0,0.65
2024-04-06,2024-04-06 00:00,PDH,2348.0,2349.0,Asian,0,True,65.0,83.0,20.0,0.31
2024-04-08,2024-04-08 06:00,PDL,2339.7,2323.1,Asian,6,True,84.0,328.0,180.0,2.14
2024-04-08,2024-04-08 10:00,PDH,2350.0,2372.5,Pre-London,10,True,95.0,132.0,225.0,2.37
2024-04-09,2024-04-09 15:00,PDH,2372.5,2376.0,London,15,True,96.0,155.0,120.0,1.25
2024-04-10,2024-04-10 21:00,PDL,2344.6,2337.1,New York,21,True,135.0,264.0,75.0,0.56
2024-04-12,2024-04-12 00:00,PDH,2365.2,2368.5,Asian,0,True,50.0,50.0,836.0,16.72
2024-04-13,2024-04-13 02:00,PDL,2360.2,2352.1,Asian,2,True,134.0,134.0,96.0,0.72
2024-04-15,2024-04-15 22:00,PDL,2350.6,2340.2,New York,22,True,184.0,187.0,104.0,0.57
2024-04-16,2024-04-16 02:00,PDH,2389.6,2395.0,Asian,2,True,92.0,104.0,202.0,2.2
2024-04-17,2024-04-17 00:00,PDH,2409.8,2414.8,Asian,0,True,77.0,208.0,50.0,0.65
2024-04-18,2024-04-18 00:00,PDL,2389.0,2376.5,Asian,0,True,118.0,190.0,183.0,1.55
2024-04-19,2024-04-19 09:00,PDH,2408.0,2433.3,Pre-London,9,True,143.0,212.0,253.0,1.77
2024-04-22,2024-04-22 06:00,PDL,2401.5,2396.0,Asian,6,True,28.0,28.0,568.0,20.29
2024-04-23,2024-04-23 00:00,PDL,2344.7,2342.8,Asian,0,True,57.0,57.0,401.0,7.04
2024-04-24,2024-04-24 23:00,PDH,2350.4,2350.9,New York,23,False,145.0,145.0,0.0,0.0
2024-04-25,2024-04-25 11:00,PDL,2324.8,2316.4,Pre-London,11,True,78.0,328.0,84.0,1.08
2024-04-25,2024-04-25 22:00,PDH,2350.9,2357.6,New York,22,True,217.0,217.0,67.0,0.31
2024-04-26,2024-04-26 15:00,PDH,2357.6,2359.6,London,15,True,78.0,174.0,68.0,0.87
2024-04-29,2024-04-29 06:00,PDL,2344.3,2344.0,Asian,6,True,47.0,117.0,133.0,2.83
2024-04-29,2024-04-29 16:00,PDH,2353.2,2353.0,London,16,True,56.0,164.0,28.0,0.5
2024-04-30,2024-04-30 00:00,PDH,2356.0,2358.9,Asian,0,True,69.0,520.0,29.0,0.42
